Planet Insolation (Earth Flux),Planet Equil Temp (K),Time Series Observations,Stellar Mass (M_Sun),Stellar log(g) (cm/s^2),Planet Radius (R_Earth),Stellar Eff Temp (K),Stellar Distance (pc),Depth (mmag),Depth (ppm),Period (days),Spectroscopy Observations,TFOPWG Disposition
-0.2595757457894125,-1.1142219807011593,0.03924788525987717,-1.559702896933736,0.4194776611374537,-0.019509344644762814,-1.542939694522593,-0.4312593458839719,1.6160906273174112,1.9922490537358237,-0.10545068295928874,-0.4098082817923426,True
-0.2160774837867712,-0.1660084925124597,1.5322006456531745,-0.9499332720905677,0.616701078467191,-0.37625997414086465,-0.8644245527563362,-0.5537907087666651,-0.0918971270336611,-0.1002554861926232,-0.15976791674796145,-0.29527578511164654,True
-0.2533332316015678,-0.7373285907997937,-0.12663575478382252,0.3007068005338634,0.4194776611374537,-0.6691090509896079,0.29179847177699214,-0.5603531538576549,-0.30063641441930206,-0.36287080756744317,0.0980295512648026,0.6209841883339218,True
-0.22074993966246145,-0.20898076355980802,1.5322006456531745,-0.45439663954126464,0.7931182962258321,-0.570311968851774,-0.10604651765600971,-0.39462306292301336,-0.26716785196472825,-0.3206612737442482,-0.1379851616497199,-0.18074328843095053,True
-0.25143450587189903,-0.6780549938950023,0.7027824454346759,-1.2197883639874163,1.1940489233097886,-0.7141498123810928,-1.3065455302537465,-0.6110203536972784,-0.292487823806299,-0.3525904656693482,-0.15165177614529463,0.1628542016111376,True
-0.1716213378229818,0.3039762427553853,-0.12663575478382252,0.8434373980878618,-0.23806276065668408,0.5280938267322368,0.6702208055511485,-0.3428014601026136,0.07684364348539512,0.11092619316690361,-0.09905532948055887,-0.29527578511164654,True
-0.25668395020740065,-0.8787180647806925,1.3663170056094747,-2.2291044562585873,2.545484165218418,-0.745315146059111,-1.7863617934048377,-0.6270554641136107,-0.1529396367484198,-0.17689555122758563,-0.16976636309325369,-0.29527578511164654,True
-0.25859378103031877,-0.9400186942409289,-0.12663575478382252,-0.8555453420811766,0.843246721238986,-0.7164307321265795,-0.7590055335553642,-0.5114602042285401,-0.24997272376128524,-0.29899055005770936,-0.08573001864436404,-0.06621079175025447,False
-0.25930670772093284,-1.0795733569389747,1.0345497255220752,-0.9735302545929154,0.732086777483952,-0.6660800965375758,-0.9474819618237688,-0.584063716298405,-0.27339051985945323,-0.3285061531420996,0.03495432737697945,0.6209841883339218,True
-0.14393728669835737,0.44710125947595836,1.5322006456531745,-0.14763586701074383,0.4194776611374537,-0.7157164007894077,-0.0279150518494226,-0.5751874664778805,-0.306558419778575,-0.3703435696955226,-0.1592417535203967,1.193646671737402,True
0.007433328907652598,0.7252381904887346,-0.12663575478382252,0.5508348150587499,-1.1609225490744892,0.5450080281801482,0.3399078787214359,-0.18462638212633037,-0.06833313965641356,-0.07070520372778619,-0.13410063043773685,-0.06621079175025447,True
-0.2480822748674994,-0.48678947462578087,-0.4584030348712219,-0.006053971996657158,0.4194776611374537,-0.6932598621840267,0.0709296539722889,-0.6217667675889604,-0.30321327583242175,-0.366122303266568,-0.057738092866629696,1.193646671737402,True
0.0,-2.711905091635895e-16,0.03924788525987717,0.0,0.0,0.0,0.0,0.5050833164952218,-0.28381964805822546,-0.341657113963272,-0.05700998938074302,-0.4098082817923426,False
-0.06932937769547559,0.5257708728377247,0.5368988053909762,-0.2420237970201349,-2.283715399417336,2.0095996825039246,-0.13933337159765022,0.6307507814404409,-0.0026056863098179272,0.011617570867611343,-0.11263787975038451,-0.4098082817923426,False
