,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,Pipeline Signal ID,Source,Detection,Period (days),Duration (hours),Depth (mmag),Depth (ppm),Planet Radius (R_Earth),Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Eff Temp (K),Stellar log(g) (cm/s^2),Stellar Radius (R_Sun),Stellar Mass (M_Sun)
4333,5,5,5,5,5,5,5,25.7,50.9,105.27,1,0,2,PC,False,12.9913,1,qlp-s07-faintsearch,FAINT,0.8335712,1.509,3.632428,3340.0,12.5164,3359.53,2120.0,15.0,1246.21,6158.0,3.87,2.09,1.17
4336,5,5,5,5,5,5,5,50.70269080234833,140.84899755501223,112.95,0,1,1,PC,False,9.7402,1,qlp-s07-faintsearch,FAINT,1.1355486,2.63,0.42352,390.0,13.0419,47965.7,4122.0,14.0,1658.75,10262.0,4.3079603497942385,7.04,1.1025655704054766
4340,5,5,5,5,5,5,5,21.7,31.1,317.0,0,0,0,PC,False,13.5964,1,qlp-s07-faintsearch,FAINT,1.1385671,1.897,6.774369,6220.0,16.0326,13181.3,2985.0,11.0,2348.86,9024.0,4.19,2.0,2.28
4343,5,5,5,5,5,5,5,23.2,73.7,52.56,0,0,0,PC,False,13.5184,1,qlp-s07-faintsearch,FAINT,1.2247985,1.645,8.326874,7640.0,8.32531,1294.24,1670.0,12.0,591.382,5699.0,4.55,0.89,1.015
4346,5,5,5,5,5,5,5,21.2,62.3,66.3,1,0,0,PC,False,13.0556,1,qlp-s07-faintsearch,FAINT,1.6562803,0.929,6.108129,5610.0,9.54495,291.778,1151.0,21.0,706.679,6044.0,4.29,1.25,1.12
4362,5,5,5,5,5,5,5,28.1,105.8,112.81,4,0,1,PC,False,12.5405,1,qlp-s09-faintsearch,FAINT,0.9109508,1.473,5.136807,4720.0,13.0531,18809.1,3262.0,21.0,1297.87,9421.0,4.31,1.79,2.39
4367,5,5,5,5,5,5,5,25.0,21.3,317.0,0,0,0,PC,False,12.7158,1,qlp-s09-faintsearch,FAINT,1.0962372,2.336,2.674202,2460.0,15.7533,6446.8,2496.0,17.0,1391.51,6519.0,3.54,3.25,1.34
4368,5,5,5,5,5,5,5,10.1,59.5,32.13,0,0,1,EB,False,11.7159,1,qlp-s09-faintsearch,FAINT,4.6512523,2.251,3.381901,3110.0,6.22936,432.038,1270.0,25.0,407.374,7192.0,4.56,1.1,1.61
4369,5,5,5,5,5,5,5,21.5,23.8,317.0,0,0,0,PC,False,13.3285,1,qlp-s09-faintsearch,FAINT,3.8505662,2.499,6.610502,6070.0,16.5768,475.693,1301.0,11.0,1080.66,6353.0,3.88,2.13,1.26
4372,5,5,5,5,5,5,5,50.70269080234833,140.84899755501223,55.01,0,0,2,EB,False,13.7682,1,qlp-s09-faintsearch,FAINT,1.5040804,2.955,6.676046,6130.0,10.567321062883888,558.567,1354.0,20.0,416.29900701089525,3810.2,4.3079603497942385,1.5383132826009873,1.1025655704054766
4379,5,5,5,5,5,5,5,7.2,40.3,17.74,2,0,1,PC,False,11.0418,1,qlp-s10-faintsearch,FAINT,0.8133123,1.079,0.33663,310.0,4.37963,6736.59,1460.137852442235,10.0,433.157,8265.0,4.3079603497942385,2.12,1.1025655704054766
4381,3,5,5,3,4,4,4,20.4,54.7,93.26,1,0,1,PC,True,12.5695,1,qlp-s10-faintsearch,FAINT,3.4671474,2.405,5.191353,4770.0,11.6401,391.83,1239.0,26.0,683.062,5886.0,4.07,1.58,1.07
4403,5,5,5,5,5,5,5,25.1,72.0,69.6,3,0,1,EB,False,13.0566,1,qlp-s39-tois,FAINT,1.7201092,2.622,8.25029,7570.0,9.82252,1736.59,1798.0,29.0,641.969,5878.0,4.36,1.13,1.06
4411,5,5,5,5,5,5,5,21.2,69.8,60.66,0,0,0,PC,False,9.9747,1,qlp,QLP,0.8062768,1.963,0.716822,660.0,9.05313,18112.6,3231.0,20.0,668.389,7311.1,4.16,3.37,1.88
4415,1,4,1,2,5,4,5,2.5,39.9,6.55,18,12,0,KP,True,8.4642,1,qlp-s72-ffi,SPOC,15.5718552,4.931,0.412658,380.0,2.44317,115.206,912.0,44.0,106.289,6352.33,4.30502,1.31,1.261
4416,5,5,5,5,5,5,5,1.3,29.1,5.92,18,12,0,KP,True,8.4642,3,spoc,SPOC,31.7180208316155,2.33263213009818,0.318021,292.864964508886,2.29980485432181,55.6174649547748,696.502287374735,7.9325233,106.289,6352.33,4.30502,1.30883002281189,1.261
4419,2,5,5,2,4,4,4,1.7,10.8,2.39,11,1,4,PC,True,14.2683,1,spoc,SPOC,2.72990488543893,0.825728846912796,8.09465,7427.72496639624,1.35136063406926,4.06697675001569,362.191014635742,8.324998,32.4298,2887.0,5.15917,0.155497997999191,0.127219
4422,2,5,5,2,4,4,4,2.8,42.0,6.64,2,1,3,CP,True,10.339,1,qlp-s68-ffi,SPOC,9.1512776,2.616,1.166707,1074.0,2.45142,55.3616,759.0,10.0,108.932,5015.0,4.47652,0.79,0.9
4427,5,5,5,5,5,5,5,0.0,15.5,6.54,2,2,5,IS,False,10.4779,1,spoc-s01-s36-b02-L1,SPOC,726.1175224889,2.25433676045496,1.855689,1707.69278089714,2.43852958903519,0.63932587906437,228.06063051818,10.535669,40.9223,3808.0,4.69366,0.550329983234406,0.545551
